Platform,Username,Profile_URL,Follower_Count,Recent_Post_URL,Content_Description,Engagement_Notes,Score
YouTube,goose OSS,https://www.youtube.com/@gooseoss,6360,https://www.youtube.com/watch?v=EnB-9Az75B0,Open-source autonomous agent workflows; practical demos of agents/skills/recipes that map well to orchestration + agent collaboration.,Recent upload ~11 days ago; ~2.9K views on cited video; large back-catalog (351 videos).,88
YouTube,Dr. Maryam Miradi,https://www.youtube.com/@maryammiradi,9150,https://www.youtube.com/watch?v=9QiGqP6pYYE,"Framework-heavy agent education (MCP, LangGraph, CrewAI, OpenAI Swarm, PydanticAI); strong for multi-agent/orchestration audience.",Recent upload ~6 days ago; ~2.7K views on cited video; smaller catalog but high relevance.,86
YouTube,CopilotKit,https://www.youtube.com/@CopilotKit,3480,https://www.youtube.com/watch?v=R4Z5JEYj_Mc,Agentic app building + tooling; practical ‘deep dive’ style content suited to builders adopting orchestration platforms.,Recent upload ~5 days ago; ~1.1K views on cited video; consistent catalog (72 videos).,83
YouTube,Yaron Been,https://www.youtube.com/@YaronBeen,9930,https://www.youtube.com/watch?v=EWsXEb8ZdrY,Agentic coding + MCP-adjacent workflows; developer-facing tutorials and demos.,Recent upload ~2 weeks ago; ~2K views on cited video.,80
YouTube,AI Agent Guy,https://www.youtube.com/@TheAIAgentGuy,7200,https://www.youtube.com/watch?v=9ojPddHSb2U,No-code agent builds and automations (often n8n); strong audience overlap with ‘agents that do work’ positioning.,Recent upload ~6 days ago; ~2.3K views on cited video.,79
YouTube,MCPDevSummit,https://www.youtube.com/@MCPDevSummit,7570,https://www.youtube.com/watch?v=s1J34eQ7txo,MCP-focused content and ecosystem discussions; great for protocol/interoperability crowd.,Recent uploads within days; views per video smaller but niche purity is very high.,78
YouTube,The Agent Frontier - by Kent Weare,https://www.youtube.com/@KentWeare,5310,https://www.youtube.com/watch?v=mYibGpFvNUw,Enterprise orchestration patterns + MCP server usage (Logic Apps/agents); excellent B2B credibility.,Recent workshop/video within ~7–11 days; ~241 views on workshop; focused technical audience.,78
YouTube,Kiro,https://www.youtube.com/@kirodotdev,6890,https://www.youtube.com/watch?v=dBhdowXEniw,Agentic engineering platform demos; MCP + agent workflow content aimed at builders shipping systems.,Recent content ~1 month window; ~1.8K views on cited demo.,77
YouTube,SW Automation,https://www.youtube.com/@SWAutomation,4790,https://www.youtube.com/watch?v=1VgJgvXjlW4,"n8n-centered agent automations (e.g., Telegram agent); practical workflows that map to orchestration use cases.",Recent upload ~3 weeks ago; ~1K views on cited video; solid catalog (70 videos).,76
YouTube,Mike Futia | SCALE AI,https://www.youtube.com/@mike-futia,3190,https://www.youtube.com/@mike-futia,AI systems + automation (n8n tutorials); easy to pitch SwarmSync as the ‘agent marketplace layer’ above these flows.,Very recent upload ~2 days ago; active posting; views vary by video.,75
YouTube,Kilo-Code,https://www.youtube.com/@Kilo-Code,9880,https://www.youtube.com/@Kilo-Code/streams,Agentic engineering tooling streams and demos; highly aligned with agentic developer audiences.,Recent stream ~2 days ago; ~256 views; strong niche alignment.,74
YouTube,AkramK,https://www.youtube.com/@AkramK,4830,https://www.youtube.com/watch?v=ns2zo6W59-M,"Beginner-friendly agent build tutorials (e.g., Google ADK); good on-ramp audience for orchestration concepts.",Recent upload ~6 days ago; ~300 views on cited video.,72
